article_name,author_name,section_name,date,summary_text,article_url,author_url,section_url
The Second Avenue Subway Is Here!,Nick Paumgarten,New York Journal,2017-02-13,The début of New York’s newest train line took place at noon on New Year’s Day—ninety-seven years after it was first conceived.,http://www.newyorker.com/magazine/2017/02/13/the-second-avenue-subway-is-here,http://www.newyorker.com/contributors/nick-paumgarten,http://www.newyorker.com/magazine/new-york-journal
Lions of Los Angeles,Dana Goodyear,Annals of Wildlife,2017-02-13,Are the city’s pumas dangerous predators or celebrity guests?,http://www.newyorker.com/magazine/2017/02/13/lions-of-los-angeles,http://www.newyorker.com/contributors/dana-goodyear,http://www.newyorker.com/magazine/annals-of-wildlife
Anthony Bourdain’s Moveable Feast,Patrick Radden Keefe,Profiles,2017-02-13,"Guided by a lusty appetite for indigenous culture and cuisine, the swaggering chef has become a travelling statesman.",http://www.newyorker.com/magazine/2017/02/13/anthony-bourdains-moveable-feast,http://www.newyorker.com/contributors/patrick-radden-keefe,https://www.newyorker.com/magazine/profiles
When Things Go Missing,Kathryn Schulz,Personal History,2017-02-13,Reflections on two seasons of loss.,http://www.newyorker.com/magazine/2017/02/13/when-things-go-missing,http://www.newyorker.com/contributors/kathryn-schulz,https://www.newyorker.com/magazine/personal-history
Is This Hygge?,Susanna Wolff,Shouts & Murmurs,2017-02-13,Shouts & Murmurs: I hold the mug with both hands. This has got to be hygge.,http://www.newyorker.com/magazine/2017/02/13/is-this-hygge,http://www.newyorker.com/contributors/susanna-wolff,http://www.newyorker.com/magazine/shouts-murmurs
The Crossing,Kara Walker,Artist's Easel,2017-02-13,"This monumental painting, created on Inauguration Day, is nine feet by twelve feet, and it alludes to “Washington Crossing the Delaware.”",http://www.newyorker.com/magazine/2017/02/13/the-crossing-kara-walker,http://www.newyorker.com/contributors/kara-walker,http://www.newyorker.com/magazine/artists-easel
The Prairie Wife,Curtis Sittenfeld,Fiction,2017-02-13,Fiction: “Kirsten’s commute is when she really focusses on whether she has the power to destroy Lucy Headrick’s life.”,http://www.newyorker.com/magazine/2017/02/13/the-prairie-wife,http://www.newyorker.com/contributors/curtis-sittenfeld,http://www.newyorker.com/magazine/fiction
Capturing James Baldwin’s Legacy Onscreen,Hilton Als,A Critic at Large,2017-02-13,"With “I Am Not Your Negro,” Raoul Peck seems to be stepping in to make the movie that Baldwin couldn’t.",http://www.newyorker.com/magazine/2017/02/13/capturing-james-baldwins-legacy-onscreen,http://www.newyorker.com/contributors/hilton-als,http://www.newyorker.com/magazine/a-critic-at-large
George Saunders Gets Inside Lincoln’s Head,Thomas Mallon,Books,2017-02-13,"“Lincoln in the Bardo,” the writer’s first novel, is a stunning depiction of the sixteenth President’s psyche.",http://www.newyorker.com/magazine/2017/02/13/george-saunders-gets-inside-lincolns-head,http://www.newyorker.com/contributors/thomas-mallon,http://www.newyorker.com/magazine/books-tag
Refugees in America,Joyce Carol Oates,Books,2017-02-13,The Pulitzer Prize-winning Viet Thanh Nguyen tells stories about people poised between their devastated homeland and their affluent adopted country.,http://www.newyorker.com/magazine/2017/02/13/refugees-in-america,http://www.newyorker.com/contributors/joyce-carol-oates,http://www.newyorker.com/magazine/books-tag
Briefly Noted,,Books,2017-02-13,"“Rumi’s Secret,” “The Men in My Life,” “The Moravian Night,” and “The Man Who Shot Out My Eye Is Dead.”",http://www.newyorker.com/magazine/2017/02/13/rumis-secret-the-men-in-my-life-the-moravian-night-and-the-man-who-shot-out-my-eye-is-dead,,http://www.newyorker.com/magazine/books-tag
The Enigmatic Art of Raymond Pettibon,Peter Schjeldahl,The Art World,2017-02-13,His robust pictures and refined prose suggest at once the sagacity of an old mind and the vulnerability of a young heart.,http://www.newyorker.com/magazine/2017/02/13/the-enigmatic-art-of-raymond-pettibon,http://www.newyorker.com/contributors/peter-schjeldahl,http://www.newyorker.com/magazine/the-art-world
The Absorbing Nightmare of “Legion”,Emily Nussbaum,On Television,2017-02-13,The FX show provides the backstory of a fringe X-Man who was once deemed too disturbing to be part of the team.,http://www.newyorker.com/magazine/2017/02/13/the-absorbing-nightmare-of-legion,http://www.newyorker.com/contributors/emily-nussbaum,http://www.newyorker.com/magazine/on-television
“A United Kingdom” and “Land of Mine”,Anthony Lane,The Current Cinema,2017-02-13,"A demure romance with Rosamund Pike and David Oyelowo, and Martin Zandvliet’s film about land mines.",http://www.newyorker.com/magazine/2017/02/13/a-united-kingdom-and-land-of-mine,http://www.newyorker.com/contributors/anthony-lane,https://www.newyorker.com/magazine/the-current-cinema
Trump’s Radical Anti-Americanism,Adam Gopnik,Comment,2017-02-13,"As the President rejects our foundational principles, all we can turn to is our instinct for shared defiance.",http://www.newyorker.com/magazine/2017/02/13/trumps-radical-anti-americanism,http://www.newyorker.com/contributors/adam-gopnik,https://www.newyorker.com/magazine/comment
Becoming Steve Bannon’s Bannon,Andrew Marantz,Wind On Capitol Hill,2017-02-13,How Julia Hahn got from the University of Chicago to Breitbart to the White House.,http://www.newyorker.com/magazine/2017/02/13/becoming-steve-bannons-bannon,http://www.newyorker.com/contributors/andrew-marantz,http://www.newyorker.com/magazine/wind-on-capitol-hill
Becoming an American Under Trump,Lizzie Widdicombe,Up Life’s Ladder,2017-02-13,"After Trump signed his executive order, nine young women met at the Arab-American Family Support Center, in Brooklyn, to study for the citizenship exam.",http://www.newyorker.com/magazine/2017/02/13/becoming-an-american-under-trump,http://www.newyorker.com/contributors/lizzie-widdicombe,http://www.newyorker.com/magazine/up-lifes-ladder
The Gelernt Siblings’ High-Profile Cases,E. Tammy Kim,The Bench,2017-02-13,"Michelle spent Inauguration Day defending El Chapo. A week later, her brother Lee argued with the A.C.L.U. against Trump’s “Muslim ban.”",http://www.newyorker.com/magazine/2017/02/13/the-gelernt-siblings-high-profile-cases,http://www.newyorker.com/contributors/e-tammy-kim,http://www.newyorker.com/magazine/the-bench
Trump’s Budget Bluff,James Surowiecki,The Financial Page,2017-02-13,His tough talk on cutting government waste hides the fact that there’s no way he can deliver on his many promises.,http://www.newyorker.com/magazine/2017/02/13/trumps-budget-bluff,http://www.newyorker.com/contributors/james-surowiecki,http://www.newyorker.com/magazine/the-financial-page
Bad Bad Hats Get the Last Word,,Goings On About Town,2017-02-13,The Twin Cities trio brings fluid indie rock to Baby’s All Right.,http://www.newyorker.com/magazine/2017/02/13/bad-bad-hats-get-the-last-word,,https://www.newyorker.com/magazine/goings-on-about-town
How America Receives Refugees,Richard Brody,MOVIES,2017-02-13,“We Were So Beloved” is Manfred Kirchheimer’s personal documentary about the German Jews who made it to the United States—and those who didn’t.,http://www.newyorker.com/magazine/2017/02/13/how-america-receives-refugees,http://www.newyorker.com/contributors/richard-brody,http://www.newyorker.com/magazine/movies-2
The Invention of the Downtown Art Scene,Peter Schjeldahl,Art,2017-02-13,A jam-packed show at New York University’s Grey Art Gallery surveys a defining epoch in the geographical mythos.,http://www.newyorker.com/magazine/2017/02/13/the-invention-of-the-downtown-art-scene,http://www.newyorker.com/contributors/peter-schjeldahl,http://www.newyorker.com/magazine/art
Conjuring Geraldine Page,Hilton Als,The Theatre,2017-02-13,"In a self-penned stage piece, the actress Angelica Page pays homage to the monumental artist who was her mother.",http://www.newyorker.com/magazine/2017/02/13/conjuring-geraldine-page,http://www.newyorker.com/contributors/hilton-als,http://www.newyorker.com/magazine/the-theatre
A Reincarnation of Chinatown’s Finest Eatery,Jiayang Fan,Tables for Two,2017-02-13,"Like the establishment itself, Chinese Tuxedo’s menu reveals both the past and the present.",http://www.newyorker.com/magazine/2017/02/13/a-reincarnation-of-chinatowns-finest-eatery,http://www.newyorker.com/contributors/jiayang-fan,http://www.newyorker.com/magazine/tables-for-two
Ceremonial Drinking at Karasu,Wei Tchou,Bar Tab,2017-02-13,"At the back of a brunch spot in Fort Greene lies this elegant lounge, where even a whiskey neat is crafted with a many-stepped ritual.",http://www.newyorker.com/magazine/2017/02/13/ceremonial-drinking-at-karasu,http://www.newyorker.com/contributors/wei-tchou,http://www.newyorker.com/magazine/bar-tab
Promotion,Rae Armantrout,,2017-02-13,,http://www.newyorker.com/magazine/2017/02/13/promotion-rae-armantrout,,
Just So You’ll Know,John Ashbery,,2017-02-13,,http://www.newyorker.com/magazine/2017/02/13/just-so-youll-know,,
Inside the Trial of Dylann Roof,Jelani Cobb,Letter from Charleston,2017-02-06,The complicated moral calculations that followed a horrific crime.,http://www.newyorker.com/magazine/2017/02/06/inside-the-trial-of-dylann-roof,http://www.newyorker.com/contributors/jelani-cobb,http://www.newyorker.com/magazine/letter-from-charleston
Mo Willems’s Funny Failures,Rivka Galchen,Life and Letters,2017-02-06,How the author teaches young readers to confront problems and be resilient.,http://www.newyorker.com/magazine/2017/02/06/mo-willems-funny-failures,http://www.newyorker.com/contributors/rivka-galchen,http://www.newyorker.com/magazine/life-and-letters
The Desperate Battle to Destroy ISIS,Luke Mogelson,A Reporter at Large,2017-02-06,"ASWATteam of Iraqis, all of whom have suffered at the hands of terrorists, join the fight to retake Mosul—and plan to exact revenge.",http://www.newyorker.com/magazine/2017/02/06/the-desperate-battle-to-destroy-isis,http://www.newyorker.com/contributors/luke-mogelson,http://www.newyorker.com/magazine/a-reporter-at-large
Melania’s Diary 1/21/2017,Paul Rudnick,Shouts & Murmurs,2017-02-06,"Shouts & Murmurs: Mostly, I pretended that Donald was an elderly real-estate broker showing me homes in the D.C. area.",http://www.newyorker.com/magazine/2017/02/06/melanias-diary-1-21-2017,http://www.newyorker.com/contributors/paul-rudnick,http://www.newyorker.com/magazine/shouts-murmurs
Underground,David Gilbert,Fiction,2017-02-06,"Fiction: “Love, in all forms, had turned into a kind of regret.”",http://www.newyorker.com/magazine/2017/02/06/david-gilbert-underground,http://www.newyorker.com/contributors/david-gilbert,http://www.newyorker.com/magazine/fiction
Sampha and Migos Make Hits,Carrie Battan,Pop Music,2017-02-06,"The soulful Londoner combines ambience with songwriting heft on “Process,” and the Atlanta trio’s flow oozes with self-assurance on “Culture.”",http://www.newyorker.com/magazine/2017/02/06/sampha-and-migos-make-hits,http://www.newyorker.com/contributors/carrie-battan,http://www.newyorker.com/magazine/pop-music
Katie Kitamura’s War on Affect,Alexandra Schwartz,Books,2017-02-06,"“A Separation” is all about the mind of its narrator—observant, taut, and incredibly cold.",http://www.newyorker.com/magazine/2017/02/06/katie-kitamuras-war-on-affect,http://www.newyorker.com/contributors/alexandra-schwartz,http://www.newyorker.com/magazine/books-tag
Briefly Noted,,Books,2017-02-06,"“The True Flag,” “A Hope More Powerful Than the Sea,” “The Midnight Cool,” and “The Dispossessed.”",http://www.newyorker.com/magazine/2017/02/06/the-true-flag-a-hope-more-powerful-than-the-sea-the-midnight-cool-and-the-dispossessed,,http://www.newyorker.com/magazine/books-tag
The Joy of Eighties Art,Peter Schjeldahl,The Art World,2017-02-06,The powerful excitement of the decade has been languishing in a blind spot of art history. An exhibit at the Whitney comes to the rescue.,http://www.newyorker.com/magazine/2017/02/06/the-joy-of-eighties-art,http://www.newyorker.com/contributors/peter-schjeldahl,http://www.newyorker.com/magazine/the-art-world
Dystopia in “The Good Place”,Emily Nussbaum,On Television,2017-02-06,The follow-up to “Parks and Recreation” started as a daffy screwball comedy and ended as something uncomfortably appropriate for our apocalyptic era.,http://www.newyorker.com/magazine/2017/02/06/dystopia-in-the-good-place,http://www.newyorker.com/contributors/emily-nussbaum,http://www.newyorker.com/magazine/on-television
“Gold” and “Dark Night”,Anthony Lane,The Current Cinema,2017-02-06,"The Stephen Gaghan movie starring Matthew McConaughey, and Tim Sutton’s film inspired by the 2012 shooting in Aurora, Colorado.",http://www.newyorker.com/magazine/2017/02/06/gold-and-dark-night,http://www.newyorker.com/contributors/anthony-lane,http://www.newyorker.com/magazine/the-current-cinema
Trump’s Information Wars,Steve Coll,Comment,2017-02-06,The White House senior counsellor wants the press to shut up. Will the Administration try the same tactic on federal agencies?,http://www.newyorker.com/magazine/2017/02/06/trumps-information-wars,http://www.newyorker.com/contributors/steve-coll,http://www.newyorker.com/magazine/comment
Trump Supporters at the DeploraBall,Andrew Marantz,Dept. of Hoopla,2017-02-06,"The journalist Cassandra Fairbanks, the co-founder of Vice Media Gavin McInnes, and other far-right V.I.P.s celebrate their candidate’s victory.",http://www.newyorker.com/magazine/2017/02/06/trump-supporters-at-the-deploraball,http://www.newyorker.com/contributors/andrew-marantz,http://www.newyorker.com/magazine/dept-of-hoopla
Lumberjacking in Brooklyn,Reeves Wiedeman,Cultural Exchange Dept.,2017-02-06,A professor from the Adirondacks offers a glimpse of life in Trump country and a rigorous axe-centric workout.,http://www.newyorker.com/magazine/2017/02/06/lumberjacking-in-brooklyn,http://www.newyorker.com/contributors/reeves-wiedeman,http://www.newyorker.com/magazine/cultural-exchange-dept
Staying Positive Under Trump,Mark Singer,The People United,2017-02-06,"At Symphony Space, self-professed armchair liberals gather for a reaffirmation of their political values, which amounted to a rhetorical neck massage.",http://www.newyorker.com/magazine/2017/02/06/staying-positive-under-trump,http://www.newyorker.com/contributors/mark-singer,http://www.newyorker.com/magazine/the-people-united
Why Trump’s Conflicts of Interest Won’t Hurt Him,James Surowiecki,The Financial Page,2017-02-06,History shows that if voters like a candidate they’re willing to overlook a lot.,http://www.newyorker.com/magazine/2017/02/06/why-trumps-conflicts-of-interest-wont-hurt-him,http://www.newyorker.com/contributors/james-surowiecki,http://www.newyorker.com/magazine/the-financial-page
“Rusalka” Makes Stars,,CLASSICAL MUSIC,2017-02-06,"Just as it was a vehicle for the burgeoning career of Renée Fleming, Dvořák’s 1901 opera now features Kristine Opolais in the title role.",http://www.newyorker.com/magazine/2017/02/06/rusalka-makes-stars,,http://www.newyorker.com/magazine/classical-music-2
A Pioneer of Gender Performance,Hilton Als,The Theatre,2017-02-06,“Stormé: The Lady of the Jewel Box” is a 1987 film portrait of the male impersonator who lived in the world on her own terms.,http://www.newyorker.com/magazine/2017/02/06/a-film-on-a-pioneer-of-gender-performance,http://www.newyorker.com/contributors/hilton-als,http://www.newyorker.com/magazine/the-theatre
From Ballet to Trisha Brown,Joan Acocella,Dance,2017-02-06,"To dance “Glacial Decoy,” the Paris Opera Ballet dancers had to undo what their training told them to do.",http://www.newyorker.com/magazine/2017/02/06/from-ballet-to-trisha-brown,http://www.newyorker.com/contributors/joan-acocella,http://www.newyorker.com/magazine/dance
San Francisco Street Food in Harlem,Nicolas Niarchos,Tables for Two,2017-02-06,"At Sexy Taco/Dirty Cash, the dishes are quick and easy, and have a sense of humor.",http://www.newyorker.com/magazine/2017/02/06/san-francisco-street-food-in-harlem,http://www.newyorker.com/contributors/nicolas-niarchos,http://www.newyorker.com/magazine/tables-for-two
A Heavy-Metal Bar for Outsiders,David Kortava,Bar Tab,2017-02-06,"At Duff’s Brooklyn, the walls and ceiling are garlanded in surrealist art and the sombrely clad headbangers are shrouded in foreboding red light.",http://www.newyorker.com/magazine/2017/02/06/a-heavy-metal-bar-for-outsiders,http://www.newyorker.com/contributors/david-kortava,http://www.newyorker.com/magazine/bar-tab
The Infinite,Charles Simic,,2017-02-06,,http://www.newyorker.com/magazine/2017/02/06/the-infinite,,
Cloud-Path,Tess Gallagher,,2017-02-06,,http://www.newyorker.com/magazine/2017/02/06/cloud-path,,
The Atomic Origins of Climate Science,Jill Lepore,American Chronicles,2017-01-30,How arguments about nuclear weapons shaped the debate over global warming.,http://www.newyorker.com/magazine/2017/01/30/the-atomic-origins-of-climate-science,http://www.newyorker.com/contributors/jill-lepore,http://www.newyorker.com/magazine/american-chronicles
"Brad Troemel, the Troll of Internet Art",Adrian Chen,Profiles,2017-01-30,His work is a jab at the rigid rules of the art world and an experiment in what art might look like if those rules didn’t exist.,http://www.newyorker.com/magazine/2017/01/30/brad-troemel-the-troll-of-internet-art,http://www.newyorker.com/contributors/adrian-chen,http://www.newyorker.com/magazine/profiles
Doomsday Prep for the Super-Rich,Evan Osnos,A Reporter at Large,2017-01-30,"Some of the wealthiest people in America—in Silicon Valley, New York, and beyond—are getting ready for the crackup of civilization.",http://www.newyorker.com/magazine/2017/01/30/doomsday-prep-for-the-super-rich,http://www.newyorker.com/contributors/evan-osnos,http://www.newyorker.com/magazine/a-reporter-at-large
The Movie with a Thousand Plotlines,Raffi Khatchadourian,Annals of Technology,2017-01-30,Will interactive films be this century’s defining art form?,http://www.newyorker.com/magazine/2017/01/30/alternate-endings,http://www.newyorker.com/contributors/raffi-khatchadourian,http://www.newyorker.com/magazine/annals-of-technology
Translating the Noises My Radiator Makes,Colin Stokes,Shouts & Murmurs,2017-01-30,"Shouts & Murmurs: I know, I’m a radiator, but I need warmth, too. No, don’t hug me—I mean I need emotional warmth. If you hug me, I’ll burn you.",http://www.newyorker.com/magazine/2017/01/30/translating-the-noises-my-radiator-makes,http://www.newyorker.com/contributors/colin-stokes,http://www.newyorker.com/magazine/shouts-murmurs
Quarantine,Alix Ohlin,Fiction,2017-01-30,"Fiction: “She found it hurtful to see other people’s smiling, healthy families or, even worse, to hear about lives that seemed as fragile as her own.”",http://www.newyorker.com/magazine/2017/01/30/quarantine-by-alex-ohlin,http://www.newyorker.com/contributors/alix-ohlin,http://www.newyorker.com/magazine/fiction
John Cale’s Inventive Retrospection,Amanda Petrusich,Pop Music,2017-01-30,The experimental musician and co-founder of the Velvet Underground reinterprets his back catalogue.,http://www.newyorker.com/magazine/2017/01/30/john-cales-inventive-retrospection,http://www.newyorker.com/contributors/amanda-petrusich,http://www.newyorker.com/magazine/pop-music
Paul Auster’s Novel of Chance,Laura Miller,Books,2017-01-30,"In “4 3 2 1,” one man’s life unfolds along four diverging narrative arcs.",http://www.newyorker.com/magazine/2017/01/30/paul-austers-novel-of-chance,http://www.newyorker.com/contributors/laura-miller,http://www.newyorker.com/magazine/books-tag
Briefly Noted,,Books,2017-01-30,"“The Original Black Elite,” “The Genius of Judaism,” “Moonglow,” and “The Animators.”",http://www.newyorker.com/magazine/2017/01/30/the-original-black-elite-the-genius-of-judaism-moonglow-and-the-animators,,http://www.newyorker.com/magazine/books-tag
Marisa Merz’s Factory of Dreams,Peter Schjeldahl,The Art World,2017-01-30,A retrospective at the Met Breuer reveals that the least-known and only female member of Arte Povera is also among the best.,http://www.newyorker.com/magazine/2017/01/30/marisa-merzs-factory-of-dreams,http://www.newyorker.com/contributors/peter-schjeldahl,http://www.newyorker.com/magazine/the-art-world
"Martin McDonagh’s Repressed, Explosive World",Hilton Als,The Theatre,2017-01-30,"“The Beauty Queen of Leenane” shows the mutual hatred and dependence that bind a mother and daughter, and England and Ireland.",http://www.newyorker.com/magazine/2017/01/30/martin-mcdonaghs-repressed-explosive-world,http://www.newyorker.com/contributors/hilton-als,http://www.newyorker.com/magazine/the-theatre
“The Salesman” and “Split”,Anthony Lane,The Current Cinema,2017-01-30,"Asghar Farhadi’s film, with Taraneh Alidoosti and  Shahab Hosseini, and M. Night Shyamalan’s movie, starring James McAvoy.",http://www.newyorker.com/magazine/2017/01/30/the-salesman-and-split,http://www.newyorker.com/contributors/anthony-lane,http://www.newyorker.com/magazine/the-current-cinema
Bitterness and Resentment at Trump’s Inauguration,Amy Davidson,Comment,2017-01-30,The forty-fifth President affirmed not the continuity of America’s Democratic progress but his contempt for its non-Trumpian past.,http://www.newyorker.com/magazine/2017/01/30/bitterness-and-resentment-at-trumps-inauguration,http://www.newyorker.com/contributors/amy-davidson,http://www.newyorker.com/magazine/comment
Philip Roth E-Mails on Trump,Judith Thurman,What-If Dept.,2017-01-30,"In 2004, the writer published “The Plot Against America,” about an election that upends the country. Has it happened here?",http://www.newyorker.com/magazine/2017/01/30/philip-roth-e-mails-on-trump,http://www.newyorker.com/contributors/judith-thurman,http://www.newyorker.com/magazine/what-if-dept
Creative Types Learn to Shoot Guns,Emma Allen,Head Shots,2017-01-30,"At Westside Rifle & Pistol Range, a group of newbie marksmen fire at targets featuring photos of them in the name of art.",http://www.newyorker.com/magazine/2017/01/30/creative-types-learn-to-shoot-guns,http://www.newyorker.com/contributors/emma-allen,http://www.newyorker.com/magazine/head-shots
